index,sentences,abuse,sentiment,offensiveness
15,프로그램은 코로나19 확산 방지를 위해 교육영상을 제공하는 비대면 교육으로 진행하며 신청 후 체험키트는 우편배송 받거나 직접 수령이 가능하고 참가 신청은 박물관 누리집이나 전화로 가능하는 이 박물관 문화체험이 의미 있다고 생각합니다.,NON,NEU,NOT
16,그냥 틱톡 하는 것부터 문제있음...,NON,NEU,NOT
17,인수후보들 잘 판단해야 합니다  인력 구조조정 없이 인수했다가는 니들도 망한다,NON,NEG,NOT
18,솔직히 번호따고 저렇게 존나 걍 애미뒤지게 들이대는거보다 ,ABS,NEG,OFFEN
19,경상도 좆목 라인 어디로 타면 되져? ,ABS,NEG,OFFEN
20,노창은 또 쥐도새도 모르게 잠수탔네,NON,NEU,NOT
21,너무 이뻐요 발색 하면 이쁨,NON,POS,NOT
22,어떻긴요 진짜 박보검이 훨씬 멋지구요 ,NON,NEU,NOT
23,박보검 미모 싸발적이고,NON,POS,NOT
24,디아크 시발 프리딸 존나잘했네ㅋㅋㅋ,ABS,NEU,LIKELY
25,태진아그래도트롯가수로는최고엿는데..지금도가끔노래듣는데...요즘은무슨 방송마다 트롯사기꾼들이 판치는데....세상말세,NON,NEU,NOT
26,전쟁난다면모를까가격오른다고사제기는안합니다,NON,NEU,NOT
27,노라주다 저새낀 ㄹㅇ 개패고싶게생겻노,ABS,NEG,OFFEN
28,아 할거엊ㅅ어 시발,ABS,NEU,OFFEN
29,와~~  집에 물 부어논  느낌 ᆢㅠ,NON,POS,NOT
30,축구보다가 화딱지 났으...돈만 많이 받아 먹지..허세...뛰지도 않고...이*인은 후반만 뛰기로 약속했는지..맨날 뒤늦게 나오고..왜 중계는 해 가지고 속을 뒤집어 놓고 1박2일이나 보고 웃을걸..,NON,NEG,LIKELY
31,"학살왕조 지원하는 중국 러시아 북괴 남주사파정권 봉쇄만이, 지구촌이 정의롭고 평화롭게 살아간다 아니면 일제 히틀러 보다 더 큰 희생 온다. 지금도 수만은 희생이나오고있는데 앞으로는 상상을 초월하는 희생이 나올꺼다. 서방이 단합 뭉쳐야 이자들도 깨어나 선과 악을 구분하여 살아간다 이데로가면 악의 축이 되어 주변국을 위협하여 삶의 질을 최악으로 만든다. 지구촌 마지막 악의 집단 제거하자 ! 일어나라 지구여 우리는 북 학살 왕조 핵으로 서방을 위협하며 북 주민 학살 되는 상황을 막아야 천벌을면한다. 남주사파정권 쇼에 동물원이 되어가는 ᆢ",NON,NEG,NOT
32,밥 줫나안나오네 하,ABS,NEG,OFFEN
33,잘생겨지고싶어애미씨발렴들아 ,ABS,NEG,OFFEN
34,유동닉 안녕 메크로 쌔끼,ABS,NEG,OFFEN
35,정글 개꿀팁,NON,NEU,NOT
36,있는 치료제나 잘 써라,NON,NEG,NOT
37,아니 시발 ㅋㅋ,ABS,NEG,OFFEN
38,아니 씨발 아직도 연설 안했네,ABS,NEU,OFFEN
39,재구매 이제는몇번째 주문인지 모를정도로 계속 먹고있네요~이제는 씁쓸한거는 빼고주문해야겠어요^^ 싱싱하고 맛있습니다^^,NON,POS,NOT
40,돈미니인스타관음할래? ㅋ.ㅋ ,NON,NEU,NOT
41,릴보이 잘하지만 고인물처럼 보이는건 왤까,NON,NEU,NOT
42,저 미친놈 저거저거 ,ABS,NEG,OFFEN
43,그것이 인터넷녀자들이 서로 뷰빨하는 이유 맞지 ,NON,NEU,OFFEN
44,자기 하기싶은대로 하면 되는거지 별거로 다 이슈를 만드네,NON,NEU,NOT
45,발레의 아름다움을 한것 느낄수 있어서 좋았어요 ^^ 적극 추천이요,NON,POS,NOT
46,기리보이 같은 씨발은 왜 심사위원이야?,ABS,NEU,OFFEN
47,암환자 대부분 비타민D 부족하다  영양제 처방까지 받는다,NON,NEU,NOT
48,보꼴들 난리났넼ㅋㅋㅋ 야 어차피 쥴리랑 김건희랑 다르잖아~ 왜 흥분하냐니깤ㅋㅋㅋㅋㅋ쥴리가 누군데???ㅋㅋㅋ,ABS,NEG,OFFEN
49,단언컨대 한국 80년대 최고의 야구 애니메이션~!!,NON,POS,NOT
50,늘 같은기준으로 비교했으면 의미는 있다만...중고시세는 옵션포함 차값이고신차가는 옵션제외 기본값인데 제목만보면 뭔 신차출고보다 중고가 비싼줄알겠네 ㅎㅎ,NON,NEG,NOT
51,문츠의 눈빛이 너무진하고 진짜같아서 이미 사랑에빠진 나는 감정을 주체하기가힘들다,NON,POS,NOT
52,봉준이 다시보기 왜 없냐고,NON,NEU,NOT
53,2:03 여기서부터 클라라 썰인줄..ㅋㅋ,NON,NEU,NOT
54,외로운새끼들 이런년은 어떰?????????,ABS,NEG,OFFEN
55,아 새벽까지 디시하고 리젠 떨어지는거보니까 백수 때로 돌아간거같네,NON,NEU,NOT
56,이정도면 ova나 극장판도 한번 기대를해본다,NON,POS,NOT
57,칠호 ㅋㅋㅋㅋㅋ,NON,NEU,NOT
58,시발 수면제먹고행동하가가 계단에서미끄러짐 ,ABS,NEG,LIKELY
59,아다들아 제발 오피는 가지마라,ABS,NEG,OFFEN
60,나는 없는 사람도 아니지만 유통기한 임박한 상품 반값에 판다면 얼마든지 사먹겠다...상품상의 기한은 유통기한이지 먹을 수있는 기한이 아닌건 다들 알지 않나~?,NON,NEU,NOT
61,노아주다가 나았다 개추,ABS,NEU,NOT
62,가만히 쳐누워있으면 돈들어오는데 복귀안할수가없지,ABS,NEU,LIKELY
63,근데 똥꼬ㅅㅅ는 왜하는거임?,ABS,NEG,OFFEN
64,김폭신 저병신련은 ,ABS,NEG,OFFEN
65,한국은 맨날 일본인 유전자로 욕하면서 정작 기형하는 한국이 젤많음,NON,NEU,NOT
66,개웃김} 투표구걸하는새끼 짤.JPG,ABS,NEG,OFFEN
67,유교탈레반 국가에서 먼 성교육이냐. 꽁꽁 묶어두고 안하는척 모르는척 하고들 지내야 국가가 좋아한다.,NON,NEG,LIKELY
68,차가 된장이냐.. 묵히면 더 좋아지데? 욤뵹,ABS,NEU,OFFEN
69,모쏠도 이렇게는 눈치드럽게 없지는 않겠다야,NON,NEU,LIKELY
70,짤녀 이쁘면 잔다,NON,NEU,NOT
71,졸잼,ABS,POS,NOT
72,콘돔끼고해라다쓰러져가는 나라에서 ㅋㅋ,NON,POS,NOT
73,남자가 눈물점있으면 솔직히 암캐임,NON,NEU,NOT
74,회장님 그런데 성과급 왜 계속 불황인가요??,NON,NEG,NOT
75,우유가 숙면에 도움을 주다는건 이미 알고 있었지만 피스타치오나 허브티는 처음 안 사실이네요. 피스타치오는 견과류모아져있는 거에 들어있어서 먹어 보긴 했는데 잠 안올때 따로 사서 먹어봐야겠네용 그리고 허브티는 심신 안정에 효과도 있고 잠도 잘 오게도 해주는 구나,NON,NEU,NOT
76,이 막장스토리에 배우들 연기는 정말 잘하네김응수.성동일 배우때문에 10점 줌.,NON,POS,NOT
77,이제 그만 거짓말 해라.너무티나는 뉴스자나국민들이 바보냐!,NON,NEG,LIKELY
78,님들아 사실 내가 좆고딩이 아니라 ,ABS,NEG,OFFEN
79,지긋지긋한  광고.  몰아내자. ㅌ,NON,NEG,NOT
80,씹년이 키스하고혀넣고내가슴만짐 ,ABS,NEG,OFFEN
81,본선가서 보여줄거면 기대를하게 만들어야지 애미창년아,ABS,NEG,OFFEN
82,ㅇㅅㅇ 호빠 창남창녀 ,ABS,NEG,OFFEN
83,랜드로버 이용자들끼리는 인사도 안한바고 하던데 사실인가요 ???? 아침마다 정비소에서 만나서요,NON,NEU,NOT
84,sm에서 공식 입장 밝혔습니다다,NON,NEU,NOT
85, 지속력 좋고 색 이뻐요,NON,POS,NOT
86,이게 따질게 되냐ㅋ 나이먹으면 발기부전이라 생각하나? 다른여자만나봐라 잘선다ㅋ 반대로 여자는 바람피라고? 자기남편은 나이먹고 안선다면서 다른사람은 왜 서겠냐ㅋㅋㅋ 문제를 모르네 오래같이 살면서 볼거안볼거 성욕이 떨어지니 문제지,NON,NEG,LIKELY
87,책상에부딪침 .. ,NON,NEU,NOT
88,문재인 그렸으면 입에 개거품물고 달려들 놈들 대깨문은 사회좀먹는 무리들이다 양념같은 소리하고 앉아있네,ABS,NEG,LIKELY
89,ㄴㅅㄹ,NON,NEU,NOT
90,이쁘게하고갈게*??? ,NON,NEU,NOT
91,"기사 같지도 않는걸  올 리고,",NON,NEG,LIKELY
92,3사똑같은 방송은 너무 하지않니?하나씩 나눠서 하면 안돼겠니?꼭 정규 방송시간에 재방송 틀어야만 했니..,NON,NEG,NOT
93,남편이 좋아하네요. 오늘 처음사용해서 아직 잘 모르지만 일단 남편이 좋아하니 만족입니다.많이파세요.,NON,POS,NOT
94,오늘 릴보이 진짜 쌋다,NON,NEU,LIKELY
95,존예 지츄,ABS,POS,NOT
96,쌍용 곧 매각될거라 언론에 스케치북 던져서 몸값 올리는중,NON,NEU,NOT
97,대파에 이어 계절마다 한가지씩은 경험 못한 가격을.,NON,NEU,NOT
98,좆같은게 차단해도 댓글알람뜸 ,ABS,NEG,OFFEN
99,노조원  문제가 아니라 그동안 바지사장과 그 똘마니들이 다 말아 먹었다.  아직도 안나가고 기웃거리고며 햇 소리 하고과관이 아님!,NON,NEG,LIKELY
100,이제 한국에서 철수해라. 지겹다,NON,NEG,LIKELY
101,귀엽고키작고고추작은 한남없나,ABS,NEG,OFFEN
102,"급한사람들이 중고차를 새차보다 비싸게, 웃돈주고 산다는 멍청이들아. 급한사람은 렌트한다. 멍청이들아. 생각하고 살자. 머리는 폼으로 달고 다니냐? 요즘 렌트가 싼거 얼마나 많은대, 급하면 그런 싼거 하나 렌트해서 타고 다니다가, 새차나오면 타야지. 중고차 가격 떨어지는게 얼마나 큰지 모르지? 머리는 폼으로 있는게 아니란다. 생각좀 하고 살자 ^^",ABS,NEG,OFFEN
103,여러분 ' 힘내요 ' 라는 말은 위대합니다,NON,POS,NOT
104,살기좆같다.. ,ABS,NEG,OFFEN
105,뭐 눈엔 뭐 밖에 안 보인다고ㅎ 소위 남혐용어라는 것도 사실 남자들이 쓰는 유행어들이 더러운 기원을 가졌으니 당연히 여초발 유행어도 그렇다고 지레짐작한 결과일 뿐이다,NON,NEG,LIKELY
106,색깔 너무 예쁩니다 웜톤인데 잘 어울리고요 민낯에 발라도 예뻐요 매트해서 각질 부각 심할 거 같았는데 그런 거 전혀 없네요 다른 색도 사고 싶어요 굿굿,NON,POS,NOT
107,우리 집 개새ㅡ끼 교육하는법좀 존나 사나움 ,ABS,NEG,OFFEN
108,정신나간것들...,NON,NEG,LIKELY
109,69한남주제에어디서남리남리하게지랄이노 ,ABS,NEG,OFFEN
110,고닉동도 인스타 있었음? ,NON,NEU,NOT
111,태진아는 욕을 무쟈게 쳐먹어서 건강한거임...,NON,NEG,OFFEN
112,"이번에 정말 논리도, 생각도 없고 온갖 혐오만 하는 인간들 때문에 속에 온갖 열불이 다 났었는데ㅋㅋ 좋은 기사 감사합니다^_^ 기사 보고 아나운서님이 멋진 발언을 해주셨단 걸 알게되었네요 여자들 언제나 화이팅 ~~",NON,NEU,NOT
113,배구 빼고다졌는데 ??,NON,NEU,NOT
114,♥예수님사랑해요오오오오,NON,POS,NOT
115,이건 뭐...국내에 너무 안 알려진 영화라...매니아들만 봤을테니...후회는 없다.,NON,POS,NOT
116,버릴데가 없는 성장 영화. 여기 나오는 모든이를 응원하고 싶다,NON,POS,NOT
117,인간이 정해버린 동전의 앞뒤 일뿐 ..,NON,POS,NOT
118,그런거죠?? 어쩐지 배구가 그 늦은 시간에 하는게 이상하다고 생각했었네...ㅡㅡ,NON,NEG,NOT
119,감독의 긴장감 유지능력은 대단하네.,NON,POS,NOT
120,지금 나라돈을 정치인들 마치 자기네돈으로 착각하고 마구 사용하는것같다. 이러면 몇푼이라고 혜택을받는자는 잠시 좋을지모르지만 고스란히 국민모두 세금으로 내야한다는점을 알아야한다. 나라운영하는데 물론 지출이 당연히있어야한다. 하지만 나랏돈지출은 신중해야하고 이나라가 그리잘사는나라도아닌데도 마치 너무잘나가는경향이있다는 생각이 들기도한다. 정신못차리면 다시 고생길로 갈수있음을..,NON,POS,NOT
121,의사씨발 돒팔이 새끼,ABS,NEG,OFFEN
122,!식량 부족 !굶음 !데이는 중 !회로 과부하 !도달할 수 없는 식품 !산소 발생량 부족 복제체가 죽었습니다.,NON,POS,NOT
123,귀신이 개좆밥새끼인 이유:십자가 무서워함ㅋㅋㅋㅋ,ABS,NEU,OFFEN
124,그러거보니 스토브리그도 지금까지 무관이지?,NON,NEU,NOT
125,진짜 별 수준하고는,NON,NEG,LIKELY
126,"탱크 메카닉 시물레이터라는 거창한 이름을 들고 왔지만, 실제로는 거의 모든 작업이 녹 제거, 도색인 게임. 그래도 하나하나 전차가 완성되어 가는건 즐겁다.",NON,POS,NOT
127,요즘엔 초딩도 카드들고 다녀서 삥뜯는게 의미없지 않냐,NON,NEU,NOT
128,급식여장똥꼬충새끼 아직도 갤질하냐 ,ABS,NEG,OFFEN
129,멋진청년이 있어  대한민국의 미래를기대해봅니다,NON,POS,NOT
130,"우한발에 맞춰 개발된 백신이 효과가 있을거라고 생각하냐? 그거마저도 도입을 못해서 주둥아리만 털면서 선동질이나 해대는 정권에 놀아나서 접종예약한다고 난리부르스를ㅋㅋㅋㅋ 미국은 변이 바이러스 백신 개발중이고, 미국이 우선적으로 2억회분 선점계약 맺는 시기에, 문재인 주둥이에 놀아나고 자빠져서, 무슨 의미도 없는 거리두기가 어쩌고 어쩌고.ㅋㅋㅋㅋ",NON,NEG,OFFEN
131,■◇■ 그건 안쥴려나 쥴래한테 물어보면  알수있다!!■◇■,NON,NEU,NOT
132,"노벨경제학을 수상한 루카스가 말했던 합리적기대가설이 생각나네... 결론만 말하자면 ""예상치 못한 정부의 정책은 물가만 올린다""임...",NON,NEU,NOT
133,당근마켓에 무료나눔글올렷는데 시발년들이 시간을않지킴 ,ABS,NEG,OFFEN
134,혹시 개추 몇개만 가능할까,ABS,NEU,NOT
135,님들아 제남친 부랄 진짜 구라안치고 메추리알만한것같음,ABS,NEG,OFFEN
136,김밥집 알바생 동남아 사람인데,NON,NEU,NOT
137,"준영이 집에 돌아온것 맞는데, 망상이라며 소설쓴 미칀년들 ㅋㅋㅋ",ABS,NEG,OFFEN
138,13일의금요일 영화를 좋아했다면 무조건해야함,NON,POS,NOT
139,지금도 엠비씨 봐?,NON,NEU,NOT
140,아 좆같다 ,ABS,NEG,OFFEN
141,아 형 하세요ㅋㅋ,NON,NEU,NOT
142,휴가지발 집단감염 터질라,NON,NEG,NOT
143,씨발련들 오늘도 행복해하네 ,ABS,NEG,OFFEN
144,사랑해 시발,ABS,POS,LIKELY
145,나무위키에 한글패치가 나와있으며 퍼즐을 제외한 모든 것들은 제시점에서 너무 좋았습니다 전사하세요 두번 하세요 세이브는 중간중간마다 해주는게 중요합니다 쯔꾸르 게임 하듯이 해주시면 됩니다 와우 해보신분들에게 추천 드리고싶습니다,NON,POS,NOT
146,*** 바하의 무반주  첼로조곡이 최고의 인기 클래식곡으로 선정된 적이 있습니다.,NON,NEU,NOT
147,근대 진짜 구라안까고 쟤랑 섹스는 좀 꼴림 ,ABS,NEG,OFFEN
148,"민주국가에서 국민을 개돼지로 만들기 위해 던져주는 개껌이 있는데, 그것이 바로 패미 남녀갈등 동성애논란 낙태문제 등이다. 이들은 원초적인 본능에 관계하며 성향이기 때문에 물러설 수도 양보할 수도 없는 개싸움 그 자체로 국민을 몰아넣고 우민화시키는 것임. 답이 나오지 않는다. 끝이 없다. 다른 정치적 사안은 거들떠볼 여유가 없다. 그리고 쉬는 틈에 야구와 축구에 몰입시킨다. 그 동안에 정치엘리트와 귀족들은 그들만의 성을 쌓고 개싸움을 즐기면서 와인잔을 기울인다.",ABS,NEG,LIKELY
149,중요하다는걸 알지만 젤하기힘든쪽이란거 ㅜㅜ,NON,NEU,NOT
150,육근영 븅신년 또삐지것다 그만해랴지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ABS,NEG,OFFEN
151,ㅆㅂ...,ABS,NEG,OFFEN
152,걍 바퀴벌레약 뿌림 다죽어요,NON,NEU,NOT
153,제가 보기엔 저 병은 열심히 일한 사람들한테 나는 병인듯 싶습니다.,NON,NEU,NOT
154,듀 해봐 임마 듀 ,NON,NEG,LIKELY
155,민혁아 고생 많았고,NON,NEU,NOT
156,"배송은 빠른편이었고, 이불 원단은 가격대비 만족스럽습니다. 휴가드가 일본회사라는걸 이번에 처음 알게되어 아쉽습니다만 이불은 가볍고 따뜻하네여. 베개지퍼가 화이트인데 ㅜㅜ 그레이컬러원단에 그레이지퍼였음 완성도가 좀 올라갔을거 같아요.",NON,POS,NOT
157,몸무게 500배,NON,NEU,NOT
158,"이제 부모들 생각만 바뀌면 되겠네. 자녀에게 성을 교육해줄지, 아님 타인에게 무책임하게 전가할지. 설마 지금도 선생이란 사람들이 교육을 잘 한다고 생각하는건 아니겠지",NON,NEG,NOT
159,"예쁘고 강한 여주인공 캐릭터 별점 7개!, 스토리와 결말이 애매해서 별점 2개! 총 9개.",NON,POS,NOT
160,부인 바뀌면 발딱,ABS,NEG,OFFEN
161,이게 기사?? 광고인듯.,NON,NEG,LIKELY
162,근데 우리집존나추운데 모기어떻게살아잇지 ,ABS,NEG,LIKELY
163,내가왜병신이지????,ABS,NEG,OFFEN
164,되팔이들 저거 진짜 하아...,NON,NEG,LIKELY
165, 지속력 너무 좋고 매트한 질감이라 맘에 들어요 색도 너무 이뻐요ㅠㅠ바르는 순간 얼굴에 형광등 킨 느낌,NON,POS,NOT
166, 흰끼 때문에 요플레현상 심한데 이런 색상 틴트는 없어서 만족이에요 색상 이뻐요,NON,POS,NOT
167,워더플럭 존오버 존나 위험한 놈아니냐,ABS,NEU,LIKELY
168,"공감되고 귀엽고 약간은 쓸쓸해도 한켠 따뜻해지는 이 어른들의 사랑, 참 사랑스럽다",NON,POS,NOT
169,좌파 아주머니^^이시국에도 좌파 지지하시겠죠? 한걸레 - 양희은 조합 오지네요,ABS,NEG,OFFEN
170,응디,NON,NEU,NOT
171,강동호 진짜 보지만졌어?  구라아니고?,ABS,NEG,OFFEN
172,안산 최고!! 3관왕 축하드립니다! 안산 선수에게 별 근거도 없는 루머로 악플 다는 아이들은 자신을 다시 되돌아보도록 해 커뮤는 끊고 알겠지?? 이젠 제발 뭐가 문제인지 좀 알았으면 한다,NON,POS,NOT
173,네글자이름 만나면 죽여버린다 개띠꺼운새끼들 ,ABS,NEG,OFFEN
174,"이전 대선 후보 부인들과 비교 불가의 스펙, 접근 불가의 남자 내공,우리 어머님 계셨으면 마땅히 하셨을 말씀""저 화냥년 집안 말아먹을 년여"" 그런데 문제는 집안이 아니라 자랑스런 대한민국 국가라는 것",ABS,NEG,OFFEN
175,정착되면 내가 진거같아서좆같음 ,ABS,NEG,OFFEN
176,야스못한다고 우울한건 진짜 병신아닌가,ABS,NEG,OFFEN
177,지나가는 암컷강아지 보ㅡ지나빨어라,ABS,NEG,OFFEN
178,솔직히 백신도 무서워서 못 맞겠다. 마스크도 정말 지겹고.....  이것이 다 중국 때문이다. 그럼에도 불구하고 중국몽 타령하는 양반이 이 나라 주인행세를 하고 있으니.... 참 암담하다.,NON,NEG,NOT
179,말이되는걸 기사내보네야지......,NON,NEG,NOT
180,하 친구들은 다 아다 떼는데,ABS,NEG,OFFEN
181,개좆같다좆같은집안 ,ABS,NEG,OFFEN
182,기도하면 뭐가 달라지냐 부잣집애들 여유있는애들만 전도해라 ㅡ ㅡ 걔네들 돈이나 받으면서 교회 비지니스해,NON,NEG,LIKELY
183,"ㅋㅋ,문재인 너도 두고보자",NON,NEG,LIKELY
184,정숙이 존나호감임,ABS,POS,NOT
185,콘돔 교육 꼭 시켜라,NON,NEU,NOT
186,빼빼로 하나도 못받은새끼 솔직하게 댓글달아보셈 ,ABS,NEG,OFFEN
187,후회할 긴데..,NON,NEG,NOT
188,축구의 감독고집으로 선수기용도 재대로못하고대패했는데  배구는 일본을 적진에서 통쾌하게이겼다  방송국들은 부랴부랴 재방송하는꼴이 우숩다,NON,NEG,LIKELY
189,술 조금먹으면 건강좋다는 소리는 100년지나도 또 할듯ㅋㅋ,NON,NEG,LIKELY
190,여론조작질과 패악질은 대깨들에겐 상식인듯~~ 아 끔찍하다 대한민국 대깨들 세상~~,ABS,NEG,OFFEN
191,역시 매력적이네요존경할수밖에 없네요수고하셨어요,NON,POS,NOT
192,짐이야 씨바ㄹ ,ABS,NEG,OFFEN
193,기리보이 저새낀 존나좋아하네ㅋㅋㅋㅋ,ABS,NEU,LIKELY
194,배송도빠르고품질도좋아요강추요,NON,POS,NOT
195,흉기기 중고차가격 절대로 안떨어진다고 개수작부린 느낑.,ABS,NEG,OFFEN
196,ㅋㅋㅋ 이제 배구만 계속 보여줄듯,NON,NEG,NOT
197,정말 잘 만든 사극,NON,POS,NOT
198,언텔 찐따새끼 브루노 지보다 만만해보이니까 저랬지,ABS,NEG,OFFEN
199,ㅎㅎ  난 질것같아서 케이블 스포츠채널에서 배구 봤는데.. 지상파에서 안하면 케이블 스포츠채널로 돌려보세요,NON,NEU,NOT
200,씨발 진짜 중간에 끊기면 개좆같은데,ABS,NEU,OFFEN
201,담배보단 음식할때!  비흡연으로폐암이 많은이유지..,NON,NEU,NOT
202,고자가 되는 느김,NON,NEU,NOT
203,도로와 인도 통합 최강 무법자 퀵라니들 다 X졌으면 좋겠다. 아 무고한 사람 피해주지말고 혼자 가라,ABS,NEG,OFFEN
204,예쁠수록 돈이 많다면 짤녀는 어느정도? ,NON,NEU,NOT
205,ㅎㅎㅎ 개막식때 부터 왜그러는 건데,NON,NEU,NOT
206,강아지배에서 부웅부웅소리남 ,ABS,NEU,LIKELY
207,젖견이들 1분 따엿다고???,ABS,NEG,LIKELY
208,수박농사  하신분들은 ㅋ   한탄중 도대체 중간에 얼마나  이익을 남겨 먹는거야,NON,NEG,NOT
209,입 존나 크네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ABS,NEU,LIKELY
210,T1 프런트 정의구현 :),NON,POS,NOT
211,시발 뭐지 나 왜 라방만 두시간햌ㅅ냐 ,ABS,NEU,LIKELY
212, 저렴한 가격 원플할떄 잘 샀네요. 색상도 너무 마음에 들고 저랑 동생이랑 하나씩 나눠가졌습니다. 다음에 또 구매할 수 있었으면 좋겠어요,NON,POS,NOT
213,이노래옛날에존나들었는데 [2/1],ABS,NEU,NOT
214,도와달라고개씨밧년들아 사람우습게보이냐,ABS,NEG,OFFEN
215,"여자만  예쁘면  너무 잘서서 문제다...만,  여자가 없어,  예쁘고 쎅시한 여자가 없어...",NON,NEU,NOT
216,대체 페미니스트가 왜 공격 받아야 하는 지 이해할 수 없습니다.,NON,NEU,NOT
217,아 출근하기싫어 시팔 ,ABS,NEG,OFFEN
218,아존나웃기네 버거프린스 ㅇㅈㄹㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ABS,POS,LIKELY
219,굴젓 팀 다음주 오왼이랑 팀된 새끼들은 다 통편집이냐 ㅋㅋㅋㅋ,ABS,POS,LIKELY
220,두께 잘 선택했네요 여유있게 잘라 보내주셔서 쫌 마무리 작업을 했지만 배송도 빠르고 제품도 좋으네요,NON,POS,NOT
221,코로나 땜에 뜨는 산업 중에 단연 으뜸이겠네요.. 코로나 끝나도 이건 안 끝날 듯... ㅎㅎ,NON,POS,NOT
222, 지속력도 좋고 가격대비 좋아요 여러 개 구매했어요 개인적으로 틴트보다 립스틱을 좋아해서ㅋㅋ근데 색상는 다른데 케이스색ㅇ 같아서 바를 때마다 다 확인ㅜㅜ,NON,POS,NOT
223,재밌게 했다. 대머리는 능욕하지 마라.,NON,POS,NOT
224,메달 따서 병역혜택 노리는 넘들보단 김치찌개혜택뿐인  여자배구국가대표도 자랑스럽게 생각하는 분들 중계좀 해줘라,NON,NEG,LIKELY
225,재밌게 봤다.,NON,POS,NOT
226,근데 왜짱깨들 감염수들은보도안하는겨?뭐 쨍깨나라는 청적지역여?,ABS,NEG,OFFEN
227,어린이 사랑꾼 ㅇㅈㄹ,ABS,NEU,LIKELY
228,내 정신병을 세상에 알려라 ★♥★♥★♥★♥★♥★♥★♥★♥★♥★♥★♥★♥★,NON,NEU,NOT
229,이센스도 귀빨개졌을듯,NON,NEU,NOT
230,축구와 야구의 현주소를 적나라하게 보여준겁니다! 원정 다니며 술이나 쳐마시니 저모양이죠 어제는 졌다고 한잔 했겠죠...연봉도  딱 저수준에 맞게 줘야합니다!,NON,NEG,LIKELY
231,물개 이새끼 왜 렐름 초대 안 보내놓음?? ,ABS,NEG,OFFEN
232,키 158 충격이네,NON,NEU,NOT
233,시벌아가리로하면은간김테희여 ,ABS,NEG,OFFEN
234,기술개발에 주력하여 국산화에 성공했으면 좋겠네요.,NON,POS,NOT
235,놈심은 가격 동참에 따르면 안되지 신라면도 예전보다 맛이 없는데 저거 베스트 는 다올리네 농심은 너무자주 올린거로 기억하는데,NON,NEU,NOT
236,아 씨발ㅋㅋㅋㅋㅋㅋㅋㅋ,ABS,NEU,OFFEN
237,양아치노조 먹이감 으로 나섰구나! 폐쇄가 답인데,ABS,NEG,OFFEN
238,태진아 사건 모르나? 피해자의 고통을 모르나 기레기들 영구퇴출 되었으면,ABS,NEG,OFFEN
239,릴보이 진짜 좆나 개미친새끼 랩 존나 잘하네 ㅋㅋㅋㅋㅋ,ABS,POS,LIKELY
240,마지막에 전투씬이 미래보여주기였다니 안심이 되었지만 반대로 약간 아쉬움도 있었다 볼투리가를 끝장낼 수도 있었다는 생각을 했는데... 그래도 해피엔딩으로 끝나서 매우 좋았다,NON,POS,NOT
241,미미 아프로 지베바켜잇어야해 *??? ,NON,NEU,NOT
242,민서공이 항상 화이팅 응원해요 ??,NON,POS,NOT
243,"백신 접종 완료율 세계 104위...통일운동가 따님 기모란 왈 ""백신 서두를 필요없다"" 의 결과",NON,NEU,NOT
244,평소에 아이린 보면 좀 음침하긴 했음...;;,NON,NEU,NOT
